Apr_AC1,Post_AC1,FD1,FD2,AI1,Apr_AC2,Post_AC2,POLO,STATUS
1,0.7,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
0,0,0.2,0.4,0.444444,0.875,0.8,URUCUIA,Reprov
1,0.7,0.2,0,0,0.875,0.75,URUCUIA,Aprov
1,0.7,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.7,0.2,0.4,0.777778,0.875,0.75,URUCUIA,Aprov
1,0.8,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.75,0.2,0.4,0.666667,0.875,0.8,URUCUIA,Aprov
0,0.8,0,0,0,0,0,URUCUIA,Reprov
1,0.7,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.8,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
1,0.8,0,0,0.222222,0.875,0.8,URUCUIA,Aprov
1,0.8,0.2,0.6,0.777778,0.875,0.8,URUCUIA,Aprov
1,0.7,0.6,0.4,0.777778,0.875,0.8,URUCUIA,Aprov
1,0.8,0.6,0.6,0,0.875,0.8,URUCUIA,Aprov
1,0.8,0,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.7,0.2,0.4,0.722222,0.875,0,URUCUIA,Aprov
1,0.7,0.6,0.6,1,0.875,0.7,URUCUIA,Aprov
1,0.8,0,0,0.888889,0.875,0.8,URUCUIA,Aprov
0,0,0,0,0,0,0,URUCUIA,Aprov
1,0.75,0,0,0,0,0,URUCUIA,Aprov
1,0.75,0.2,0.4,0,0.875,0.8,URUCUIA,Aprov
1,0.75,0.2,0.4,0.666667,0.875,0.8,URUCUIA,Aprov
1,0.75,0.2,0,0.666667,0.875,0.75,URUCUIA,Aprov
1,0.7,0.2,0.4,0.777778,0.875,0.7,URUCUIA,Aprov
1,0.8,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.8,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.75,0.2,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.7,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
1,0.7,0.6,0.4,0,0.875,0.8,URUCUIA,Aprov
1,0.7,0.2,0.4,0.777778,0.875,0.7,URUCUIA,Aprov
1,0.7,0.2,0,0.833333,0.875,0.8,URUCUIA,Aprov
0,0,0,0,0,0,0,URUCUIA,Aprov
1,0.7,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
1,0.7,0.6,0.4,0.944444,0.875,0.7,URUCUIA,Aprov
1,0.7,0.2,0.4,0.666667,0.875,0.75,URUCUIA,Aprov
1,0.75,0.2,0.4,0.666667,0.875,0.75,URUCUIA,Aprov
0,0,0.4,0.6,0.777778,0,0,URUCUIA,Reprov
1,0.75,0.4,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.7,0.6,0.4,0.888889,0.875,0.8,URUCUIA,Aprov
1,0.8,0.4,0.4,1,0.875,0.8,URUCUIA,Aprov
