Apr_AC1,Post_AC1,FD1,FD2,AI1,Apr_AC2,Post_AC2,POLO,STATUS
1,0.7,0.6,0.6,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,0,0,0,MONTE_AZUL,Reprov
0,0,0,0,0,0,0,MONTE_AZUL,Reprov
1,0.75,0.6,0.6,0.777778,0.875,0.8,MONTE_AZUL,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.65,0.4,0.4,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.8,0,0,1,0.875,0.8,MONTE_AZUL,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.75,0.2,0.4,0,0,0,MONTE_AZUL,Aprov
1,0.75,0.4,0.6,1,0.875,0.8,MONTE_AZUL,Aprov
0,0,0,0,0,0,0,MONTE_AZUL,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,MONTE_AZUL,Aprov
1,0.75,0.6,0.6,0.777778,0.875,0.7,MONTE_AZUL,Aprov
1,0.75,0.6,0.6,0.833333,0,0.8,MONTE_AZUL,Aprov
1,0.75,0.2,0.4,0.777778,0.875,0.8,MONTE_AZUL,Aprov
0,0,0,0,0,0,0,NOVA_SERRANA,Reprov
1,0.75,0.6,0.6,0.888889,0,0.75,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.888889,0.875,0.7,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.888889,0,0.8,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.777778,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.888889,0.875,0.6,NOVA_SERRANA,Aprov
1,0,0.6,0.6,1,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.888889,0.875,0.7,NOVA_SERRANA,Reprov
1,0.6,0.6,0.6,0.777778,0.875,0.8,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.7,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.75,NOVA_SERRANA,Aprov
1,0.7,0,0.6,0.888889,0,0,NOVA_SERRANA,Reprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.6,0.6,0.6,0.777778,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.888889,0.875,0.7,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0,0,NOVA_SERRANA,Reprov
1,0,0.6,0.6,0,0.875,0,NOVA_SERRANA,Reprov
1,0,0.6,0.4,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.75,0.6,0,0,0.875,0.8,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.777778,0.875,0.75,NOVA_SERRANA,Aprov
1,0,0.6,0.6,1,0,0,NOVA_SERRANA,Reprov
1,0.8,0.6,0.6,0.888889,0.875,0.7,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,1,0.875,0.8,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.777778,0.875,0.75,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
0,0,0,0,0,0,0,NOVA_SERRANA,Reprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.6,0.6,0.666667,0.875,0.8,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0,NOVA_SERRANA,Aprov
1,0.75,0.4,0.4,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0,0.875,0,NOVA_SERRANA,Reprov
1,0.75,0.6,0,0.666667,0,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.777778,0.875,0.8,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0,0.4,0.6,0.888889,0.875,0.75,NOVA_SERRANA,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.8,NOVA_SERRANA,Aprov
1,0.6,0.4,0.6,0.888889,0.875,0.75,NOVA_SERRANA,Aprov
1,0.7,0.6,0.6,0.833333,0.875,0.8,URUCUIA,Aprov
1,0.7,0.2,0.4,0.777778,0.875,0.75,URUCUIA,Aprov
1,0.7,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
1,0.7,0.2,0.4,0.777778,0.875,0.75,URUCUIA,Aprov
1,0.7,0.6,0.6,0.666667,0.875,0.8,URUCUIA,Aprov
1,0.75,0.2,0.4,0,0.875,0.8,URUCUIA,Aprov
1,0.7,0.4,0.4,0.722222,0.875,0.75,URUCUIA,Aprov
1,0.75,0.2,0.4,0,0.875,0.8,URUCUIA,Aprov
1,0.8,0.6,0.4,0,0.875,0.8,URUCUIA,Reprov
1,0.7,0.6,0.6,1,0.875,0.8,URUCUIA,Aprov
